,CustomerId,First Name,Last Name,ShipMode,Segment,City,Country,IngestionDate
116,,,,,,,,2022-06-15
117,DK-13090,Dave,Kipp,Standard Class,Consumer,Seattle,United States,2022-06-15
118,GG-14650,Greg,Guthrie,Standard Class,Corporate,Bristol,United States,2022-06-15
119,SC-20725,Steven,Cartwright,First Class,Consumer,Wilmington,United States,2022-06-15
120,SC-20725,Steven,Cartwright,First Class,Consumer,Wilmington,United States,2022-06-15
121,,,,,,,,2022-06-15
122,SC-20725,Steven,Cartwright,First Class,Consumer,Wilmington,United States,2022-06-15
123,SC-20725,Steven,Cartwright,First Class,Consumer,Wilmington,United States,2022-06-15
124,AD-10180,Alan,Dominguez,Second Class,Home Office,Houston,United States,2022-06-15
125,PF-19165,Philip,Fox,Standard Class,Consumer,Bloomington,United States,2022-06-15
126,,,,,,,,2022-06-15
127,,,,,,,,2022-06-15
128,,,,,,,,2022-06-15
129,LS-16975,Lindsay,Shagiari,Second Class,Home Office,Los Angeles,United States,2022-06-15
130,DW-13585,Dorothy,Wardle,First Class,Corporate,Columbus,United States,2022-06-15
131,DW-13585,Dorothy,Wardle,First Class,Corporate,Columbus,United States,2022-06-15
132,DW-13585,Dorothy,Wardle,First Class,Corporate,Columbus,United States,2022-06-15
133,LC-16885,Lena,Creighton,Standard Class,Consumer,Roseville,United States,2022-06-15
134,LC-16885,Lena,Creighton,Standard Class,Consumer,Roseville,United States,2022-06-15
135,,,,,,,,2022-06-15
136,LC-16885,Lena,Creighton,Standard Class,Consumer,Roseville,United States,2022-06-15
137,LC-16885,Lena,Creighton,Standard Class,Consumer,Roseville,United States,2022-06-15
138,LC-16885,Lena,Creighton,Standard Class,Consumer,Roseville,United States,2022-06-15
139,LC-16885,Lena,Creighton,Standard Class,Consumer,Roseville,United States,2022-06-15
140,,,,,,,,2022-06-15
141,SH-19975,Sally,Hughsby,Standard Class,Corporate,San Francisco,United States,2022-06-15
142,SH-19975,Sally,Hughsby,Standard Class,Corporate,San Francisco,United States,2022-06-15
143,SH-19975,Sally,Hughsby,Standard Class,Corporate,San Francisco,United States,2022-06-15
144,SG-20080,Sandra,Glassco,Standard Class,Consumer,Independence,United States,2022-06-15
145,HA-14920,Helen,Andreada,Standard Class,Consumer,Pasadena,United States,2022-06-15
146,,,,,,,,2022-06-15
147,JE-16165,Justin,Ellison,Standard Class,Corporate,Franklin,United States,2022-06-15
148,JE-16165,Justin,Ellison,Standard Class,Corporate,Franklin,United States,2022-06-15
149,,,,,,,,2022-06-15
150,JE-16165,Justin,Ellison,Standard Class,Corporate,Franklin,United States,2022-06-15
151,TW-21025,Tamara,Willingham,First Class,Home Office,Scottsdale,United States,2022-06-15
152,TW-21025,Tamara,Willingham,First Class,Home Office,Scottsdale,United States,2022-06-15
153,SP-20650,Stephanie,Phelps,First Class,Corporate,San Jose,United States,2022-06-15
154,SP-20650,Stephanie,Phelps,First Class,Corporate,San Jose,United States,2022-06-15
155,,,,,,,,2022-06-15
156,NK-18490,Neil,Knudson,Standard Class,Home Office,Seattle,United States,2022-06-15
157,DB-13060,Dave,Brooks,Second Class,Consumer,Seattle,United States,2022-06-15
158,NP-18670,Nora,Paige,Standard Class,Consumer,Edmond,United States,2022-06-15
159,NP-18670,Nora,Paige,Standard Class,Consumer,Edmond,United States,2022-06-15
160,TT-21070,Ted,Trevino,First Class,Consumer,Los Angeles,United States,2022-06-15
161,EM-13960,Eric,Murdock,Second Class,Consumer,Philadelphia,United States,2022-06-15
162,RD-19900,Ruben,Dartt,Standard Class,Consumer,Carlsbad,United States,2022-06-15
163,MJ-17740,Max,Jones,Standard Class,Consumer,Seattle,United States,2022-06-15
164,BM-11140,Becky,Martin,Standard Class,Consumer,San Antonio,United States,2022-06-15
165,BM-11140,Becky,Martin,Standard Class,Consumer,San Antonio,United States,2022-06-15
166,BM-11140,Becky,Martin,Standard Class,Consumer,San Antonio,United States,2022-06-15
167,BM-11140,Becky,Martin,Standard Class,Consumer,San Antonio,United States,2022-06-15
168,BM-11140,Becky,Martin,Standard Class,Consumer,San Antonio,United States,2022-06-15
169,BM-11140,Becky,Martin,Standard Class,Consumer,San Antonio,United States,2022-06-15
170,BM-11140,Becky,Martin,Standard Class,Consumer,San Antonio,United States,2022-06-15
171,,,,,,,,2022-06-15
172,CS-12130,Chad,Sievert,Standard Class,Consumer,Los Angeles,United States,2022-06-15
173,,,,,,,,2022-06-15
174,JB-15400,Jennifer,Braxton,Standard Class,Corporate,Chicago,United States,2022-06-15
175,JB-15400,Jennifer,Braxton,Standard Class,Corporate,Chicago,United States,2022-06-15
176,,,,,,,,2022-06-15
177,,,,,,,,2022-06-15
178,JE-15745,Joel,Eaton,Second Class,Consumer,Newark,United States,2022-06-15
179,,,,,,,,2022-06-15
180,,,,,,,,2022-06-15
181,DK-13150,David,Kendrick,Second Class,Corporate,Decatur,United States,2022-06-15
182,RM-19675,Robert,Marley,Second Class,Home Office,Monroe,United States,2022-06-15
183,RM-19675,Robert,Marley,Second Class,Home Office,Monroe,United States,2022-06-15
184,RM-19675,Robert,Marley,Second Class,Home Office,Monroe,United States,2022-06-15
185,SK-19990,Sally,Knutson,Standard Class,Consumer,Fairfield,United States,2022-06-15
186,FM-14290,Frank,Merwin,Standard Class,Home Office,Los Angeles,United States,2022-06-15
187,,,,,,,,2022-06-15
188,AM-10360,Alice,McCarthy,Standard Class,Corporate,Grand Prairie,United States,2022-06-15
189,,,,,,,,2022-06-15
190,MP-17470,Mark,Packer,First Class,Home Office,New York City,United States,2022-06-15
191,MP-17470,Mark,Packer,First Class,Home Office,New York City,United States,2022-06-15
192,,,,,,,,2022-06-15
193,MP-17470,Mark,Packer,First Class,Home Office,New York City,United States,2022-06-15
194,MZ-17515,Mary,Zewe,Standard Class,Corporate,Redlands,United States,2022-06-15
195,,,,,,,,2022-06-15
196,,,,,,,,2022-06-15
197,VM-21685,Valerie,Mitchum,Standard Class,Home Office,Westfield,United States,2022-06-15
198,,,,,,,,2022-06-15
199,,,,,,,,2022-06-15
200,MB-17305,Maria,Bertelson,Standard Class,Consumer,Akron,United States,2022-06-15
201,BS-11755,Bruce,Stewart,First Class,Consumer,Denver,United States,2022-06-15
202,,,,,,,,2022-06-15
203,LC-17140,Logan,Currie,Second Class,Consumer,Dallas,United States,2022-06-15
204,,,,,,,,2022-06-15
205,LE-16810,Laurel,Elliston,Standard Class,Consumer,Whittier,United States,2022-06-15
206,,,,,,,,2022-06-15
207,JH-15985,Joseph,Holt,Standard Class,Consumer,Saginaw,United States,2022-06-15
208,,,,,,,,2022-06-15
209,,,,,,,,2022-06-15
210,,,,,,,,2022-06-15
211,MS-17980,Michael,Stewart,Second Class,Corporate,Dallas,United States,2022-06-15
212,VW-21775,Victoria,Wilson,Standard Class,Corporate,Medina,United States,2022-06-15
213,VW-21775,Victoria,Wilson,Standard Class,Corporate,Medina,United States,2022-06-15
214,VW-21775,Victoria,Wilson,Standard Class,Corporate,Medina,United States,2022-06-15
215,VW-21775,Victoria,Wilson,Standard Class,Corporate,Medina,United States,2022-06-15
216,VW-21775,Victoria,Wilson,Standard Class,Corporate,Medina,United States,2022-06-15
217,,,,,,,,2022-06-15
218,JH-15910,Jonathan,Howell,Standard Class,Consumer,Los Angeles,United States,2022-06-15
219,JB-15925,Joni,Blumstein,First Class,Consumer,Dublin,United States,2022-06-15
220,,,,,,,,2022-06-15
221,JB-15925,Joni,Blumstein,First Class,Consumer,Dublin,United States,2022-06-15
222,,,,,,,,2022-06-15
223,JB-15925,Joni,Blumstein,First Class,Consumer,Dublin,United States,2022-06-15
224,JB-15925,Joni,Blumstein,First Class,Consumer,Dublin,United States,2022-06-15
225,,,,,,,,2022-06-15
226,DS-13180,David,Smith,Standard Class,Corporate,Detroit,United States,2022-06-15
227,DS-13180,David,Smith,Standard Class,Corporate,Detroit,United States,2022-06-15
228,VD-21670,Valerie,Dominguez,Standard Class,Consumer,Columbia,United States,2022-06-15
229,,,,,,,,2022-06-15
230,EA-14035,Erin,Ashbrook,Standard Class,Corporate,Charlotte,United States,2022-06-15
231,CS-12400,Christopher,Schild,Standard Class,Home Office,Tampa,United States,2022-06-15
232,CS-12400,Christopher,Schild,Standard Class,Home Office,Tampa,United States,2022-06-15
233,CS-12400,Christopher,Schild,Standard Class,Home Office,Tampa,United States,2022-06-15
234,,,,,,,,2022-06-15
235,CS-12400,Christopher,Schild,Standard Class,Home Office,Tampa,United States,2022-06-15
236,DB-13120,David,Bremer,Standard Class,Corporate,Santa Clara,United States,2022-06-15
237,KL-16645,Ken,Lonsdale,Second Class,Consumer,Chicago,United States,2022-06-15
238,KL-16645,Ken,Lonsdale,Second Class,Consumer,Chicago,United States,2022-06-15
239,KL-16645,Ken,Lonsdale,Second Class,Consumer,Chicago,United States,2022-06-15
240,KL-16645,Ken,Lonsdale,Second Class,Consumer,Chicago,United States,2022-06-15
241,KL-16645,Ken,Lonsdale,Second Class,Consumer,Chicago,United States,2022-06-15
242,KL-16645,Ken,Lonsdale,Second Class,Consumer,Chicago,United States,2022-06-15
243,,,,,,,,2022-06-15
244,DW-13480,Dianna,Wilson,Second Class,Home Office,Lakeville,United States,2022-06-15
245,DW-13480,Dianna,Wilson,Second Class,Home Office,Lakeville,United States,2022-06-15
246,,,,,,,,2022-06-15
247,DW-13480,Dianna,Wilson,Second Class,Home Office,Lakeville,United States,2022-06-15
248,DW-13480,Dianna,Wilson,Second Class,Home Office,Lakeville,United States,2022-06-15
249,,,,,,,,2022-06-15
250,,,,,,,,2022-06-15
251,KC-16540,Kelly,Collister,Standard Class,Consumer,San Diego,United States,2022-06-15
252,,,,,,,,2022-06-15
253,DL-13315,Delfina,Latchford,First Class,Consumer,New York City,United States,2022-06-15
254,DR-12880,Dan,Reichenbach,Standard Class,Corporate,Chicago,United States,2022-06-15
255,,,,,,,,2022-06-15
256,,,,,,,,2022-06-15
257,DR-12880,Dan,Reichenbach,Standard Class,Corporate,Chicago,United States,2022-06-15
258,CC-12670,Craig,Carreira,Second Class,Consumer,New York City,United States,2022-06-15
259,CC-12670,Craig,Carreira,Second Class,Consumer,New York City,United States,2022-06-15
260,CC-12670,Craig,Carreira,Second Class,Consumer,New York City,United States,2022-06-15
261,Dl-13600,Dorris,liebe,Standard Class,Corporate,Pasadena,United States,2022-06-15
262,SB-20290,Sean,Braxton,Second Class,Corporate,Houston,United States,2022-06-15
263,SB-20290,Sean,Braxton,Second Class,Corporate,Houston,United States,2022-06-15
264,RC-19825,Roy,Collins,Standard Class,Consumer,Chicago,United States,2022-06-15
265,AH-10210,Alan,Hwang,Standard Class,Consumer,Brentwood,United States,2022-06-15
266,,,,,,,,2022-06-15
267,PG-18895,Paul,Gonzalez,Standard Class,Consumer,Morristown,United States,2022-06-15
268,CA-12310,Christine,Abelman,Standard Class,Corporate,Cincinnati,United States,2022-06-15
269,,,,,,,,2022-06-15
270,KH-16690,Kristen,Hastings,Second Class,Corporate,San Francisco,United States,2022-06-15
271,HA-14920,Helen,Andreada,First Class,Consumer,San Francisco,United States,2022-06-15
272,HA-14920,Helen,Andreada,First Class,Consumer,San Francisco,United States,2022-06-15
273,HA-14920,Helen,Andreada,First Class,Consumer,San Francisco,United States,2022-06-15
274,,,,,,,,2022-06-15
275,BB-10990,Barry,Blumstein,First Class,Corporate,Inglewood,United States,2022-06-15
276,,,,,,,,2022-06-15
277,,,,,,,,2022-06-15
278,AG-10495,Andrew,Gjertsen,Standard Class,Corporate,Philadelphia,United States,2022-06-15
279,AG-10495,Andrew,Gjertsen,Standard Class,Corporate,Philadelphia,United States,2022-06-15
280,SC-20725,Steven,Cartwright,Second Class,Consumer,Houston,United States,2022-06-15
281,SC-20725,Steven,Cartwright,Second Class,Consumer,Houston,United States,2022-06-15
282,,,,,,,,2022-06-15
283,TB-21520,Tracy,Blumstein,Standard Class,Consumer,Portland,United States,2022-06-15
284,TB-21520,Tracy,Blumstein,Standard Class,Consumer,Portland,United States,2022-06-15
285,TB-21520,Tracy,Blumstein,Standard Class,Consumer,Portland,United States,2022-06-15
286,AH-10195,Alan,Haines,Second Class,Corporate,Tamarac,United States,2022-06-15
287,,,,,,,,2022-06-15
288,AH-10195,Alan,Haines,Second Class,Corporate,Tamarac,United States,2022-06-15
289,NZ-18565,Nick,Zandusky,Second Class,Home Office,Columbus,United States,2022-06-15
290,NZ-18565,Nick,Zandusky,Second Class,Home Office,Columbus,United States,2022-06-15
291,NZ-18565,Nick,Zandusky,Second Class,Home Office,Columbus,United States,2022-06-15
292,,,,,,,,2022-06-15
293,,,,,,,,2022-06-15
294,KL-16555,Kelly,Lampkin,First Class,Corporate,Colorado Springs,United States,2022-06-15
295,KL-16555,Kelly,Lampkin,First Class,Corporate,Colorado Springs,United States,2022-06-15
296,KL-16555,Kelly,Lampkin,First Class,Corporate,Colorado Springs,United States,2022-06-15
297,,,,,,,,2022-06-15
298,JD-15895,Jonathan,Doherty,Standard Class,Corporate,Belleville,United States,2022-06-15
299,,,,,,,,2022-06-15
300,JD-15895,Jonathan,Doherty,Standard Class,Corporate,Belleville,United States,2022-06-15
301,,,,,,,,2022-06-15
302,JD-15895,Jonathan,Doherty,Standard Class,Corporate,Belleville,United States,2022-06-15
303,JH-15910,Jonathan,Howell,Standard Class,Consumer,Chicago,United States,2022-06-15
304,AS-10225,Alan,Schoenberger,Second Class,Corporate,New York City,United States,2022-06-15
305,KB-16600,Ken,Brennan,Standard Class,Corporate,Taylor,United States,2022-06-15
306,,,,,,,,2022-06-15
307,CR-12625,Corey,Roper,Standard Class,Home Office,Lakewood,United States,2022-06-15
308,SH-20395,Shahid,Hopkins,First Class,Consumer,Arlington,United States,2022-06-15
309,BP-11185,Ben,Peterman,Second Class,Corporate,Arvada,United States,2022-06-15
310,BP-11185,Ben,Peterman,Second Class,Corporate,Arvada,United States,2022-06-15
311,,,,,,,,2022-06-15
312,BP-11185,Ben,Peterman,Second Class,Corporate,Arvada,United States,2022-06-15
313,,,,,,,,2022-06-15
314,AG-10525,Andy,Gerbode,Standard Class,Corporate,Saint Petersburg,United States,2022-06-15
315,AG-10525,Andy,Gerbode,Standard Class,Corporate,Saint Petersburg,United States,2022-06-15
316,,,,,,,,2022-06-15
317,NM-18445,Nathan,Mautz,Standard Class,Home Office,New York City,United States,2022-06-15
318,NM-18445,Nathan,Mautz,Standard Class,Home Office,New York City,United States,2022-06-15
319,NM-18445,Nathan,Mautz,Standard Class,Home Office,New York City,United States,2022-06-15
320,NM-18445,Nathan,Mautz,Standard Class,Home Office,New York City,United States,2022-06-15
321,,,,,,,,2022-06-15
322,FA-14230,Frank,Atkinson,Standard Class,Corporate,Long Beach,United States,2022-06-15
323,GK-14620,Grace,Kelly,Standard Class,Corporate,Hesperia,United States,2022-06-15
324,GK-14620,Grace,Kelly,Standard Class,Corporate,Hesperia,United States,2022-06-15
325,DJ-13510,Don,Jones,Second Class,Corporate,Murfreesboro,United States,2022-06-15
326,PO-18850,Patrick,O'Brill,First Class,Consumer,Philadelphia,United States,2022-06-15
327,,,,,,,,2022-06-15
328,PO-18850,Patrick,O'Brill,First Class,Consumer,Philadelphia,United States,2022-06-15
329,PO-18850,Patrick,O'Brill,First Class,Consumer,Philadelphia,United States,2022-06-15
330,PO-18850,Patrick,O'Brill,First Class,Consumer,Philadelphia,United States,2022-06-15
331,JL-15850,John,Lucas,Second Class,Consumer,Philadelphia,United States,2022-06-15
332,JL-15850,John,Lucas,Second Class,Consumer,Philadelphia,United States,2022-06-15
333,JL-15850,John,Lucas,Second Class,Consumer,Philadelphia,United States,2022-06-15
334,DB-13615,Doug,Bickford,Second Class,Consumer,Los Angeles,United States,2022-06-15
335,DB-13615,Doug,Bickford,Second Class,Consumer,Los Angeles,United States,2022-06-15
336,DB-13615,Doug,Bickford,Second Class,Consumer,Los Angeles,United States,2022-06-15
337,AC-10420,Alyssa,Crouse,Standard Class,Corporate,San Francisco,United States,2022-06-15
338,AC-10420,Alyssa,Crouse,Standard Class,Corporate,San Francisco,United States,2022-06-15
339,,,,,,,,2022-06-15
340,JD-15895,Jonathan,Doherty,Second Class,Corporate,Philadelphia,United States,2022-06-15
341,JD-15895,Jonathan,Doherty,Second Class,Corporate,Philadelphia,United States,2022-06-15
342,JD-15895,Jonathan,Doherty,Second Class,Corporate,Philadelphia,United States,2022-06-15
343,,,,,,,,2022-06-15
344,CS-12130,Chad,Sievert,Standard Class,Consumer,Austin,United States,2022-06-15
345,CC-12550,Clay,Cheatham,Standard Class,Consumer,San Francisco,United States,2022-06-15
346,,,,,,,,2022-06-15
347,TD-20995,Tamara,Dahlen,Standard Class,Consumer,Lowell,United States,2022-06-15
348,,,,,,,,2022-06-15
349,AB-10060,Adam,Bellavance,First Class,Home Office,New York City,United States,2022-06-15
350,AB-10060,Adam,Bellavance,First Class,Home Office,New York City,United States,2022-06-15
351,AB-10060,Adam,Bellavance,First Class,Home Office,New York City,United States,2022-06-15
352,AB-10060,Adam,Bellavance,First Class,Home Office,New York City,United States,2022-06-15
353,AB-10060,Adam,Bellavance,First Class,Home Office,New York City,United States,2022-06-15
354,JL-15505,Jeremy,Lonsdale,Standard Class,Consumer,New York City,United States,2022-06-15
355,,,,,,,,2022-06-15
356,,,,,,,,2022-06-15
357,,,,,,,,2022-06-15
358,HK-14890,Heather,Kirkland,Standard Class,Corporate,Charlotte,United States,2022-06-15
359,VB-21745,Victoria,Brennan,First Class,Corporate,Columbus,United States,2022-06-15
360,,,,,,,,2022-06-15
361,,,,,,,,2022-06-15
362,KW-16435,Katrina,Willman,Standard Class,Consumer,New York City,United States,2022-06-15
363,KW-16435,Katrina,Willman,Standard Class,Consumer,New York City,United States,2022-06-15
364,KW-16435,Katrina,Willman,Standard Class,Consumer,New York City,United States,2022-06-15
365,,,,,,,,2022-06-15
366,MK-17905,Michael,Kennedy,Same Day,Corporate,Manchester,United States,2022-06-15
367,MK-17905,Michael,Kennedy,Same Day,Corporate,Manchester,United States,2022-06-15
368,MK-17905,Michael,Kennedy,Same Day,Corporate,Manchester,United States,2022-06-15
369,,,,,,,,2022-06-15
370,GT-14755,Guy,Thornton,Standard Class,Consumer,Harlingen,United States,2022-06-15
371,GT-14755,Guy,Thornton,Standard Class,Consumer,Harlingen,United States,2022-06-15
372,AG-10900,Arthur,Gainer,Standard Class,Consumer,Tucson,United States,2022-06-15
373,AG-10900,Arthur,Gainer,Standard Class,Consumer,Tucson,United States,2022-06-15
374,AG-10900,Arthur,Gainer,Standard Class,Consumer,Tucson,United States,2022-06-15
375,AG-10900,Arthur,Gainer,Standard Class,Consumer,Tucson,United States,2022-06-15
376,MM-18280,Muhammed,MacIntyre,First Class,Corporate,Quincy,United States,2022-06-15
377,,,,,,,,2022-06-15
378,RA-19915,Russell,Applegate,Standard Class,Consumer,Houston,United States,2022-06-15
379,RA-19915,Russell,Applegate,Standard Class,Consumer,Houston,United States,2022-06-15
380,,,,,,,,2022-06-15
381,AS-10285,Alejandro,Savely,First Class,Corporate,San Francisco,United States,2022-06-15
382,,,,,,,,2022-06-15
383,LA-16780,Laura,Armstrong,Second Class,Corporate,Taylor,United States,2022-06-15
384,,,,,,,,2022-06-15
385,DO-13435,Denny,Ordway,Standard Class,Consumer,Pembroke Pines,United States,2022-06-15
386,DK-13225,Dean,Katz,Standard Class,Corporate,Philadelphia,United States,2022-06-15
387,DK-13225,Dean,Katz,Standard Class,Corporate,Philadelphia,United States,2022-06-15
388,NG-18430,Nathan,Gelder,First Class,Consumer,Cincinnati,United States,2022-06-15
389,,,,,,,,2022-06-15
390,MV-18190,Mike,Vittorini,Standard Class,Consumer,New York City,United States,2022-06-15
391,JG-15115,Jack,Garza,Second Class,Consumer,Des Moines,United States,2022-06-15
392,JG-15115,Jack,Garza,Second Class,Consumer,Des Moines,United States,2022-06-15
393,BP-11095,Bart,Pistole,Second Class,Corporate,Peoria,United States,2022-06-15
394,VP-21730,Victor,Preis,Standard Class,Home Office,Las Vegas,United States,2022-06-15
